Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/TC_Amazon_ValidateSearchFieldItem_003,Edge Chromium 134.0.3124.72,,,20-03-2025 11:04:36,20-03-2025 11:05:01,24.597s,PASSED
"DATA BINDING - {""item"":""refrigerators"",""category"":""Appliances""}",,,,,,,
"openBrowser("""")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:04:36,20-03-2025 11:04:40,3.419s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:04:40,20-03-2025 11:04:46,6.806s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _59be89""), category, true)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:04:46,20-03-2025 11:04:53,6.422s,PASSED
"setText(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_field-keywords""), item)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:04:53,20-03-2025 11:04:54,0.780s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_nav-search-submit-button""))",Edge Chromium 134.0.3124.72,,,20-03-2025 11:04:54,20-03-2025 11:04:59,5.536s,PASSED
closeBrowser(),Edge Chromium 134.0.3124.72,,,20-03-2025 11:04:59,20-03-2025 11:05:01,1.605s,PASSED
,,,,,,,
Test Cases/TC_Amazon_ValidateSearchFieldItem_003,Edge Chromium 134.0.3124.72,,,20-03-2025 11:05:01,20-03-2025 11:05:37,36.630s,PASSED
"DATA BINDING - {""item"":""pc games"",""category"":""Apps \u0026 Games""}",,,,,,,
"openBrowser("""")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:05:01,20-03-2025 11:05:04,3.440s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:05:04,20-03-2025 11:05:12,8.138s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _59be89""), category, true)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:05:12,20-03-2025 11:05:24,11.113s,PASSED
"setText(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_field-keywords""), item)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:05:24,20-03-2025 11:05:24,0.880s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_nav-search-submit-button""))",Edge Chromium 134.0.3124.72,,,20-03-2025 11:05:24,20-03-2025 11:05:36,11.550s,PASSED
closeBrowser(),Edge Chromium 134.0.3124.72,,,20-03-2025 11:05:36,20-03-2025 11:05:37,1.477s,PASSED
,,,,,,,
Test Cases/TC_Amazon_ValidateSearchFieldItem_003,Edge Chromium 134.0.3124.72,,,20-03-2025 11:05:38,20-03-2025 11:06:33,55.125s,PASSED
"DATA BINDING - {""item"":""self-help books"",""category"":""Audible Audiobooks""}",,,,,,,
"openBrowser("""")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:05:38,20-03-2025 11:05:41,3.422s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:05:41,20-03-2025 11:06:06,25.490s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _59be89""), category, true)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:06:06,20-03-2025 11:06:20,13.557s,PASSED
"setText(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_field-keywords""), item)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:06:20,20-03-2025 11:06:21,0.895s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_nav-search-submit-button""))",Edge Chromium 134.0.3124.72,,,20-03-2025 11:06:21,20-03-2025 11:06:31,10.231s,PASSED
closeBrowser(),Edge Chromium 134.0.3124.72,,,20-03-2025 11:06:31,20-03-2025 11:06:33,1.492s,PASSED
,,,,,,,
Test Cases/TC_Amazon_ValidateSearchFieldItem_003,Edge Chromium 134.0.3124.72,,,20-03-2025 11:06:33,20-03-2025 11:07:40,1m - 7.204s,PASSED
"DATA BINDING - {""item"":""baby clothes"",""category"":""Baby""}",,,,,,,
"openBrowser("""")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:06:33,20-03-2025 11:06:36,3.432s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:06:36,20-03-2025 11:06:53,16.576s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _59be89""), category, true)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:06:53,20-03-2025 11:07:15,22.271s,PASSED
"setText(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_field-keywords""), item)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:07:15,20-03-2025 11:07:16,1.288s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_nav-search-submit-button""))",Edge Chromium 134.0.3124.72,,,20-03-2025 11:07:16,20-03-2025 11:07:38,21.917s,PASSED
closeBrowser(),Edge Chromium 134.0.3124.72,,,20-03-2025 11:07:38,20-03-2025 11:07:40,1.695s,PASSED
,,,,,,,
Test Cases/TC_Amazon_ValidateSearchFieldItem_003,Edge Chromium 134.0.3124.72,,,20-03-2025 11:07:40,20-03-2025 11:10:14,2m - 34.503s,PASSED
"DATA BINDING - {""item"":""perfumes"",""category"":""Beauty""}",,,,,,,
"openBrowser("""")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:07:40,20-03-2025 11:07:44,3.529s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:07:44,20-03-2025 11:09:12,1m - 28.106s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _59be89""), category, true)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:09:12,20-03-2025 11:09:28,16.368s,PASSED
"setText(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_field-keywords""), item)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:09:28,20-03-2025 11:09:30,2.199s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_nav-search-submit-button""))",Edge Chromium 134.0.3124.72,,,20-03-2025 11:09:30,20-03-2025 11:10:11,41.051s,PASSED
closeBrowser(),Edge Chromium 134.0.3124.72,,,20-03-2025 11:10:11,20-03-2025 11:10:14,3.217s,PASSED
,,,,,,,
Test Cases/TC_Amazon_ValidateSearchFieldItem_003,Edge Chromium 134.0.3124.72,,,20-03-2025 11:10:15,20-03-2025 11:11:55,1m - 40.427s,PASSED
"DATA BINDING - {""item"":""fiction"",""category"":""Books""}",,,,,,,
"openBrowser("""")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:10:15,20-03-2025 11:10:18,3.491s,PASSED
